,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37506,C&D ZODIAC,3707,LH F/C Single Seat Assembly,41402014-101,,,
37507,C&D ZODIAC,3708,"LH F/C Single Seat Assembly, AFT",41402014-103,,,
37508,C&D ZODIAC,3709,RH F/C Double Seat Assembly,41412014-101,,,
37509,C&D ZODIAC,3717,Standard Bottom Cushion Assembly,41191142-575,,,
37510,C&D ZODIAC,3718,Standard Bottom Cushion Assembly,41191142-569,,,
37511,C&D ZODIAC,3719,Double Standard Seat Assembly,41192041-101,,,
37512,C&D ZODIAC,3720,Double Standard Seat Assembly,41192041-102,,,
37513,C&D ZODIAC,3721,Double FWD Exit Seat Assembly,41192041-103,,,
37514,C&D ZODIAC,3722,Double FWD Exit Seat Assembly,41192041-104,,,
37515,C&D ZODIAC,3723,Double AFT Exit Seat Assembly,41192041-105,,,
37516,C&D ZODIAC,3724,Double AFT Exit Seat Assembly,41192041-106,,,
37517,C&D ZODIAC,3725,Double Last Row Seat Assembly,41192041-107,,,
37518,C&D ZODIAC,3726,Double Last Row Seat Assembly,41192041-108,,,
37519,C&D ZODIAC,3727,Double Front Row Seat Assembly,41202041-101,,,
37520,C&D ZODIAC,3728,Double Front Row Seat Assembly,41202041-102,,,
37521,C&D ZODIAC,3729,AFT Attendant Seat (FWD Facing),41142001-157,,,
37522,C&D ZODIAC,3730,Double Standard Seat Assembly,41192040-101,,,
37523,C&D ZODIAC,3731,Double Standard Seat Assembly,41192040-102,,,
37524,C&D ZODIAC,3732,Double FWD Exit Seat Assembly,41192040-103,,,
37525,C&D ZODIAC,3733,Double FWD Exit Seat Assembly,41192040-104,,,
37526,C&D ZODIAC,3734,Double AFT Exit Seat Assembly,41192040-105,,,
37527,C&D ZODIAC,3735,Double AFT Exit Seat Assembly,41192040-106,,,
37528,C&D ZODIAC,3736,Double Last Row Seat Assembly,41192040-107,,,
37529,C&D ZODIAC,3737,Double Last Row Seat Assembly,41192040-108,,,
37530,C&D ZODIAC,3738,Double Front Row Seat Assembly,41202040-102,,,
